PRICE,BEDS,BATH,PROPERTYSQFT,LATITUDE,LONGITUDE,Type_Co-op for sale,Type_Coming Soon,Type_Condo for sale,Type_Condop for sale,Type_Contingent,Type_For sale,Type_Foreclosure,Type_House for sale,Type_Land for sale,Type_Mobile house for sale,Type_Multi-family home for sale,Type_Pending,Type_Townhouse for sale
-0.06443735527420817,-0.5196139299402541,-0.17978989368297218,-0.3406460712200374,0.0,0.4913321759989405,0,0,1,0,0,0,0,0,0,0,0,0,0
6.00717161054551,1.382596043432408,3.880253145449548,6.73166479842662,0.0,0.4913321759989405,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.06615263119746927,0.24127005940881074,-0.17978989368297218,-0.07124556426229854,0.0,-2.035282948784849,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.07210931667643049,-0.13917193526572172,-0.6872952735745371,-0.758983443812949,0.0,0.4913321759989405,0,0,1,0,0,0,0,0,0,0,0,0,0
1.641014714971837,1.382596043432408,-0.17978989368297218,5.255437630219173,0.0,0.4913321759989405,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.05274229216106441,0.6217120540833433,-0.17978989368297218,0.800035099703462,0.0,0.4913321759989405,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.04620865023518809,-0.5196139299402541,-0.17978989368297218,0.0027848189504784955,0.0,0.4913321759989405,0,0,1,0,0,0,0,0,0,0,0,0,0
0.4496776191795918,1.7630380381069406,6.925285424798939,13.50172144075484,0.0,-2.035282948784849,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.06599669702262734,-0.9000559246147866,-0.6872952735745371,-0.6253783143461029,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.06053900090316025,-0.5196139299402541,-0.6872952735745371,-0.5255030044495753,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.06256614517610518,-0.5196139299402541,-0.6872952735745371,-0.5815733538651697,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.05277347899603279,-0.13917193526572172,-0.17978989368297218,-0.4449018771646583,0.0,-2.035282948784849,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.06618381803243764,-0.13917193526572172,-0.6872952735745371,0.0027848189504784955,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.06085086925284409,-0.5196139299402541,-0.17978989368297218,0.0027848189504784955,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.046348990992545816,-0.13917193526572172,-0.6872952735745371,0.0027848189504784955,0.0,-2.035282948784849,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.05713963589160646,-0.5196139299402541,-0.17978989368297218,-0.5158659131437701,0.0,-2.035282948784849,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.043854044195075145,-0.13917193526572172,-0.17978989368297218,-0.19433750321372073,0.0,0.4913321759989405,0,0,0,0,0,0,0,0,0,0,0,0,1
-0.06805502813054065,-0.13917193526572172,-0.6872952735745371,-0.8115493963900688,0.0,-2.035282948784849,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.06334581605031475,-0.9000559246147866,-0.6872952735745371,-0.6472807945865695,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.0555802941431873,-0.5196139299402541,-0.17978989368297218,-0.5272552028688127,0.0,0.4913321759989405,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.05430166509631854,-0.13917193526572172,-0.17978989368297218,-0.40197301589334383,0.0,-2.035282948784849,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.03371832283035055,-0.5196139299402541,-0.17978989368297218,-0.4089818095702931,0.0,0.4913321759989405,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.039955689824027224,1.0021540487578757,0.32771548620859287,0.288831210890972,0.0,0.4913321759989405,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.06334893473381159,-0.9000559246147866,-0.6872952735745371,-0.6687452252222267,0.0,-2.035282948784849,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.050871082062961405,-0.5196139299402541,-0.17978989368297218,-0.3713095435566906,0.0,-2.035282948784849,0,0,0,0,0,0,0,1,0,0,0,0,0
-0.02155545719268102,1.0021540487578757,0.835220866100158,0.0097936126274278,0.0,0.4913321759989405,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.06412548692452434,-0.9000559246147866,-0.6872952735745371,0.0027848189504784955,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.004090829610386331,3.284806016805071,-0.17978989368297218,1.5298257413158083,0.0,0.4913321759989405,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.06708823624652076,-0.9000559246147866,-0.6872952735745371,0.0027848189504784955,0.0,0.4913321759989405,1,0,0,0,0,0,0,0,0,0,0,0,0
-0.033721815755867,2.5239220274560052,1.850231625883288,0.4285690348251488,0.0,-2.035282948784849,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.04541338594349431,0.6217120540833433,-0.17978989368297218,0.2507208952725602,0.0,0.4913321759989405,0,0,0,0,0,0,0,0,0,0,1,0,0
-0.0640007395846508,-0.9000559246147866,-0.17978989368297218,-0.6061041317344923,0.0,-2.035282948784849,0,0,1,0,0,0,0,0,0,0,0,0,0
-0.03371832283035055,2.5239220274560052,2.865242385666418,1.2538544902859294,0.0,-2.035282948784849,0,0,0,0,0,0,0,0,0,0,1,0,0
